Binary,FuncName,Method,#Calls,#Success,SuccessRate,Time(s)
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi,nvram_safe_set,Fast,280,225,0.8036,0.2157
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi,nvram_safe_set,Ghidra,370,282,0.7622,36.7044
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi,nvram_safe_set,Enhanced,280,225,0.8036,0.2157
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi,nvram_safe_get,Fast,390,293,0.7513,0.1710
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi,nvram_safe_get,Ghidra,390,293,0.7513,42.3743
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi,nvram_safe_get,Enhanced,390,293,0.7513,0.1710
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/rc,nvram_safe_set,Fast,79,43,0.5443,0.0995
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/rc,nvram_safe_set,Ghidra,131,73,0.5573,28.5687
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/rc,nvram_safe_set,Enhanced,79,43,0.5443,0.0995
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/rc,nvram_safe_get,Fast,551,319,0.5789,0.1834
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/rc,nvram_safe_get,Ghidra,551,319,0.5789,49.3902
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/bin/rc,nvram_safe_get,Enhanced,551,319,0.5789,0.1834
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so,nvram_safe_set,Fast,29,0,0.0000,0.0231
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so,nvram_safe_set,Ghidra,26,22,0.8462,8.6776
/home/firmware/New_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so,nvram_safe_set,Enhanced,26,22,0.8462,8.7007
