File Mark                      | Binary Files | Set-Get Graph Time(s)  | Path Sanitization | Sanit Cross 
----------------------------------------------------------------------------------------------------------
D-Link-DIR-878                 | 11           | 1107.56                | 296              | 84/28.38%
Netgear-EX6100                 | 24           | 2614.51                | 3444             | 2146/62.31%
Netgear-EX6120                 | 21           | 2280.92                | 1099             | 813/73.98%
ASUS-4G-AC53U                  | 31           | 3287.23                | 206              | 18/8.74%
ASUS-4G-AX56                   | 27           | 3431.39                | 771              | 123/15.95%
D-Link-DIR-882                 | 13           | 2874.06                | 308              | 69/22.4%
Netgear-R6200                  | 25           | 3455.83                | 1607             | 607/37.77%
Netgear-R6300                  | 24           | 3370.30                | 1183             | 398/33.64%
Netgear-R6350                  | 45           | 4363.70                | 649              | 3/0.46%
Netgear-R7000P                 | 45           | 4600.85                | 4968             | 3495/70.35%
ToToLink-A950RG                | 22           | 593.27                 | 102              | 11/10.78%
ToToLink-T10                   | 27           | 624.69                 | 235              | 55/23.4%
Tenda-AC12                     | 20           | 2086.17                | 697              | 171/24.53%
Tenda-AC18                     | 20           | 1882.62                | 411              | 6/1.46%
Tenda-G0                       | 7            | 1292.02                | 243              | 16/6.58%
----------------------------------------------------------------------------------------------------------
Average (15/51)                | 24.13        | 2524.34                | 1081.27          | 534.33/49.4174%
