Firmware                       | BinFiles  | Time(s)   | SGTime(s)  | ARTime(s)  | Funcs  | PathC  | PathS  | PathSC  | PathR 
-------------------------------------------------------------------------------------------------------------------------------
D-Link-DIR-878                 | 11        | 3992.97   | 1107.56    | 10.72      | 675    | 687    | 296    | 84      | 33    
D-Link-DIR-816                 | 13        | 10903.88  | 1061.73    | 27.66      | 484    | 209    | 82     | 0       | 13    
D-Link-COVR-2600R              | 6         | 2784.86   | 538.59     | 23.99      | 227    | 106    | 9      | 0       | 1     
D-Link-DIR-846                 | 5         | 698.68    | 485.03     | 5.10       | 42     | 4      | 0      | 0       | 0     
ToToLink-A720R                 | 16        | 2835.08   | 518.99     | 10.07      | 465    | 95     | 70     | 0       | 18    
ToToLink-LR1200GB              | 10        | 3985.04   | 1318.93    | 8.78       | 850    | 178    | 123    | 0       | 40    
ToToLink-NR1800X               | 8         | 4025.43   | 1192.57    | 9.84       | 787    | 177    | 119    | 0       | 31    
ToToLink-A3300R                | 5         | 679.82    | 352.70     | 25.11      | 9      | 0      | 0      | 0       | 0     
ToToLink-X2000R                | 3         | 1600.37   | 681.18     | 15.48      | 60     | 1      | 1      | 0       | 1     
ToToLink-X5000R                | 6         | 233.10    | 177.39     | 0.00       | 0      | 0      | 0      | 0       | 0     
ToToLink-X6000R                | 7         | 728.22    | 383.26     | 6.07       | 76     | 0      | 0      | 0       | 0     
Netgear-BE9300                 | 17        | 17401.04  | 8185.24    | 14.61      | 1206   | 32     | 1      | 0       | 0     
Netgear-EX6100                 | 24        | 10369.91  | 2614.51    | 15.21      | 1336   | 8730   | 3444   | 2146    | 1043  
Netgear-EX6120                 | 21        | 14972.56  | 2280.92    | 24.57      | 996    | 3095   | 1099   | 813     | 342   
Linksys-E1200                  | 16        | 19505.98  | 2449.96    | 23.20      | 1121   | 727    | 409    | 0       | 45    
Linksys-RE7000                 | 14        | 7185.12   | 461.76     | 72.68      | 171    | 113    | 36     | 0       | 5     
Linksys-E5600                  | 10        | 910.07    | 620.87     | 11.67      | 43     | 3      | 1      | 0       | 1     
