Unique to SGTaint:
  [1/136] A720R:cloudupdate_check
  [2/136] A720R:convertIniToCfg
  [3/136] A720R:cs_init
  [4/136] A720R:cs_statistics
  [5/136] A720R:csteSys
  [6/136] A720R:forceupg
  [7/136] A720R:infostat.cgi
  [8/136] A720R:libapmib.so
  [9/136] A720R:ppp_inet
  [10/136] A720R:sysconf
  [11/136] A720R:sysschectl
  [12/136] A720R:tc
  [13/136] A720R:udhcpd
  [14/136] A720R:wps
  [15/136] A720R:writeflash
  [16/136] A950RG:app.so
  [17/136] A950RG:cs_statistics
  [18/136] A950RG:csteSys
  [19/136] A950RG:cstecgi.cgi
  [20/136] A950RG:downloadFlile.cgi
  [21/136] A950RG:flash
  [22/136] A950RG:global.so
  [23/136] A950RG:initcste
  [24/136] A950RG:ip6tables
  [25/136] A950RG:lan.so
  [26/136] A950RG:libapmib.so
  [27/136] A950RG:lighttpd
  [28/136] A950RG:notice
  [29/136] A950RG:system.so
  [30/136] A950RG:upload.cgi
  [31/136] A950RG:upload_bootloader.cgi
  [32/136] A950RG:upload_settings.cgi
  [33/136] A950RG:vlan.so
  [34/136] A950RG:wan.so
  [35/136] A950RG:wireless.so
  [36/136] A950RG:wps.so
  [37/136] DIR-816:ated
  [38/136] DIR-816:ip_qos
  [39/136] DIR-816:miniupnpd
  [40/136] DIR-816:product
  [41/136] DIR-816:qos_portbased_run
  [42/136] DIR-816:qos_run
  [43/136] DIR-816:qos_timer
  [44/136] DIR-816:ralink_init
  [45/136] DIR-816:tc
  [46/136] DIR-878:librcm.so
  [47/136] DIR-878:lighttpd
  [48/136] DIR-878:miniupnpd
  [49/136] DIR-878:ntpclient
  [50/136] DIR-878:omcproxy
  [51/136] DIR-878:ralink_init
  [52/136] DIR-878:timer
  [53/136] DIR-882:goahead
  [54/136] DIR-882:librcm.so
  [55/136] DIR-882:miniupnpd
  [56/136] DIR-882:ntpclient
  [57/136] DIR-882:ralink_init
  [58/136] DIR-882:timer
  [59/136] E1200:6rd_nud
  [60/136] E1200:bcmupnp
  [61/136] E1200:ctf.o
  [62/136] E1200:emf.o
  [63/136] E1200:generate_ula
  [64/136] E1200:igs.o
  [65/136] E1200:libshared.so
  [66/136] E1200:tftpd
  [67/136] E1200:wps_monitor
  [68/136] E7350:mtk_dut
  [69/136] E7350:ralink_init
  [70/136] E7350:uhttpd
  [71/136] LR1200GB:libmcm.so
  [72/136] LR1200GB:libshared.so
  [73/136] LR1200GB:ltecheck
  [74/136] LR1200GB:networkmap
  [75/136] LR1200GB:tc
  [76/136] NR1800X:custom_info_to_nvram
  [77/136] NR1800X:libmcm.so
  [78/136] NR1800X:networkmap
  [79/136] NR1800X:tc
  [80/136] NR1800X:xtables-multi
  [81/136] R6200:bftpd
  [82/136] R6200:dlnad
  [83/136] R6200:dnsRedirectReplyd
  [84/136] R6200:gproxy
  [85/136] R6200:libacos_shared.so
  [86/136] R6200:lld2d
  [87/136] R6200:telnetenabled
  [88/136] R6200:tfmeter
  [89/136] R6200:ubdcmd
  [90/136] R6200:wl
  [91/136] R6200:wpsd
  [92/136] R6300:dlnad
  [93/136] R6300:dnsRedirectReplyd
  [94/136] R6300:gproxy
  [95/136] R6300:libacos_shared.so
  [96/136] R6300:lld2d
  [97/136] R6300:scheact
  [98/136] R6300:telnetenabled
  [99/136] R6300:tfmeter
  [100/136] R6300:ubdcmd
  [101/136] R6300:wl
  [102/136] R6300:wpsd
  [103/136] R7000P:bftpd
  [104/136] R7000P:cgi_processor
  [105/136] R7000P:chat
  [106/136] R7000P:check_kwilt
  [107/136] R7000P:ddnsd
  [108/136] R7000P:debug_logd
  [109/136] R7000P:device_detect
  [110/136] R7000P:dnsRedirectReplyd
  [111/136] R7000P:dslcheck
  [112/136] R7000P:ftpc
  [113/136] R7000P:gproxy
  [114/136] R7000P:heartbeat
  [115/136] R7000P:libacos_shared.so
  [116/136] R7000P:lld2d
  [117/136] R7000P:openssl
  [118/136] R7000P:openvpn
  [119/136] R7000P:queryusb
  [120/136] R7000P:telnetenabled
  [121/136] R7000P:tfmeter
  [122/136] R7000P:ubdcmd
  [123/136] R7000P:update_device_info
  [124/136] R7000P:wl
  [125/136] R7000P:wpsd
  [126/136] RE7000:adm.cgi
  [127/136] RE7000:firewall.cgi
  [128/136] RE7000:internet.cgi
  [129/136] RE7000:json.cgi
  [130/136] RE7000:lighttpd
  [131/136] RE7000:makeRequest.cgi
  [132/136] RE7000:media.cgi
  [133/136] RE7000:miniupnpd
  [134/136] RE7000:ralink_init
  [135/136] RE7000:ubus
  [136/136] RE7000:wget

Unique to mangoDFA:
  [1/34] DIR-816:upload_bootloader.cgi
  [2/34] DIR-816:upload_settings.cgi
  [3/34] DIR-878:fwupload.cgi
  [4/34] DIR-882:fwupload.cgi
  [5/34] DIR-882:openssl
  [6/34] DIR-882:seama.cgi
  [7/34] DIR-882:tc
  [8/34] E1200:arp
  [9/34] LR1200GB:cloudupdate_check
  [10/34] LR1200GB:ebtables
  [11/34] LR1200GB:forceupg
  [12/34] LR1200GB:ldd
  [13/34] LR1200GB:statistics
  [14/34] NR1800X:cloudupdate_check
  [15/34] NR1800X:ebtables
  [16/34] NR1800X:forceupg
  [17/34] NR1800X:iot
  [18/34] NR1800X:ldd
  [19/34] NR1800X:statistics
  [20/34] R6200:iptables-restore
  [21/34] R6200:nmbd
  [22/34] R6200:rc
  [23/34] R6200:wlconf
  [24/34] R6200:wps_monitor
  [25/34] R6300:iptables-restore
  [26/34] R6300:nmbd
  [27/34] R6300:rc
  [28/34] R6300:wlconf
  [29/34] R6300:wps_monitor
  [30/34] R7000P:ftp
  [31/34] R7000P:unzip
  [32/34] R7000P:wps_monitor
  [33/34] R7000P:zip
  [34/34] RE7000:upload_settings.cgi

Unique to octopuTaint:
  [1/8] A720R:miniigd
  [2/8] A950RG:pppd
  [3/8] DIR-816:pppd
  [5/8] E1200:xmlparse.lo
  [6/8] E7350:mapd
  [7/8] NR1800X:dnsmasq
  [8/8] RE7000:wapp
