Call site: 0x43a828; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43a80c
  [1] Call site: 0x401ed0; Identifier: nvram_bufget; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ralink_init; Block Addr: 0x401ebc
Call site: 0x401ed0; Identifier: nvram_bufget; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ralink_init; Block Addr: 0x401ebc
  [1] Call site: 0x442404; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4423e8
  [1] Call site: 0x43d818; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43d7fc
  [1] Call site: 0x43a828; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43a80c
Call site: 0x43d818; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x43d7fc
  [1] Call site: 0x401ed0; Identifier: nvram_bufget; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ralink_init; Block Addr: 0x401ebc
Call site: 0x442404; Identifier: nvram_bufset; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4423e8
  [1] Call site: 0x401ed0; Identifier: nvram_bufget; Key: SSID1; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ralink_init; Block Addr: 0x401ebc
Call site: 0x477254; Identifier: nvram_safe_set; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x477238
  [1] Call site: 0x401d84; Identifier: nvram_safe_get; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ntpclient; Block Addr: 0x401d30
  [0] Call site: 0x476ab4; Identifier: nvram_safe_get; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x476a98
  [1] Call site: 0x4155b4; Identifier: nvram_safe_get; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x4155a0
  [0] Call site: 0x4762a4; Identifier: nvram_safe_get; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x47627c
Call site: 0x401d84; Identifier: nvram_safe_get; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ntpclient; Block Addr: 0x401d30
  [1] Call site: 0x477254; Identifier: nvram_safe_set; Key: ntp_timezone; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x477238
Call site: 0x4772bc; Identifier: nvram_safe_set; Key: ntp_DaylightSavingsUsed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4772a4
  [1] Call site: 0x41545c; Identifier: nvram_safe_get; Key: ntp_DaylightSavingsUsed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x415448
  [0] Call site: 0x476700; Identifier: nvram_safe_get; Key: ntp_DaylightSavingsUsed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4766ec
  [1] Call site: 0x401da0; Identifier: nvram_safe_get; Key: ntp_DaylightSavingsUsed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ntpclient; Block Addr: 0x401d8c
Call site: 0x401da0; Identifier: nvram_safe_get; Key: ntp_DaylightSavingsUsed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/ntpclient; Block Addr: 0x401d8c
  [1] Call site: 0x4772bc; Identifier: nvram_safe_set; Key: ntp_DaylightSavingsUsed; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4772a4
Call site: 0x449f24; Identifier: nvram_safe_set; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x449f08
  [0] Call site: 0x448074; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x448058
  [1] Call site: 0x42f3b8; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x42f3a4
  [0] Call site: 0x45f988; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x45f8c4
Call site: 0x448074; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x448058
  [0] Call site: 0x449f24; Identifier: nvram_safe_set; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x449f08
  [0] Call site: 0x460048; Identifier: nvram_safe_set; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x460030
Call site: 0x45f988; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x45f8c4
  [0] Call site: 0x449f24; Identifier: nvram_safe_set; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x449f08
  [0] Call site: 0x460048; Identifier: nvram_safe_set; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x460030
Call site: 0x460048; Identifier: nvram_safe_set; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x460030
  [0] Call site: 0x448074; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x448058
  [1] Call site: 0x42f3b8; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/lib/librcm.so; Block Addr: 0x42f3a4
  [0] Call site: 0x45f988; Identifier: nvram_safe_get; Key: firewall_filter_rule; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x45f8c4
Call site: 0x468c98; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c7c
  [0] Call site: 0x46ae84; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ae68
  [0] Call site: 0x4696a8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46968c
  [0] Call site: 0x469318; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4692fc
  [0] Call site: 0x467a7c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x467a60
  [0] Call site: 0x4723d8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4723bc
  [0] Call site: 0x47206c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x472050
  [0] Call site: 0x474104; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4740e8
  [1] Call site: 0x433e04; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/rc; Block Addr: 0x433de8
  [0] Call site: 0x4676f8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4676dc
  [0] Call site: 0x46ce94; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ce78
  [0] Call site: 0x473bf8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x473bdc
  [0] Call site: 0x4705e8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4705cc
  [0] Call site: 0x46b208; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46b1ec
  [0] Call site: 0x46d5a4; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46d588
  [0] Call site: 0x470110; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4700f4
Call site: 0x4676f8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4676dc
  [0] Call site: 0x46c3fc; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c3e0
  [0] Call site: 0x4755d0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4755b4
  [0] Call site: 0x468c98; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c7c
  [0] Call site: 0x46f860; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f844
  [0] Call site: 0x471a3c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x471a20
  [0] Call site: 0x4733e8; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4733cc
  [0] Call site: 0x46a82c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a810
  [0] Call site: 0x46eeac; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee90
Call site: 0x467a7c; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x467a60
  [0] Call site: 0x46c3fc; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c3e0
  [0] Call site: 0x4755d0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4755b4
  [0] Call site: 0x468c98; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c7c
  [0] Call site: 0x46f860; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f844
  [0] Call site: 0x471a3c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x471a20
  [0] Call site: 0x4733e8; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4733cc
  [0] Call site: 0x46a82c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a810
  [0] Call site: 0x46eeac; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee90
Call site: 0x469318; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4692fc
  [0] Call site: 0x46c3fc; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c3e0
  [0] Call site: 0x4755d0; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4755b4
  [0] Call site: 0x468c98; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x468c7c
  [0] Call site: 0x46f860; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46f844
  [0] Call site: 0x471a3c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x471a20
  [0] Call site: 0x4733e8; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x4733cc
  [0] Call site: 0x46a82c; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46a810
  [0] Call site: 0x46eeac; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46ee90
Call site: 0x4696a8; Identifier: nvram_safe_get; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46968c
  [0] Call site: 0x46c3fc; Identifier: nvram_safe_set; Key: lan0_ipv6_dhcp_end; File: /home/firmware/Current_dataset/D-Link/DIR-878/cpio-root/bin/prog.cgi; Block Addr: 0x46c3e0
