
[1/35] sub_40fc20, 1s
[2/35] sub_40fe80, 4s
[3/35] sub_4102e0, 65s
[4/35] sub_410620, 2s
[5/35] websRedirect, 1s
[6/35] sub_410804, 3s
[7/35] sub_411f00, 0s
[8/35] sub_419f3c, 35s
[9/35] sub_40fb0c, 1s
[10/35] sub_41010c, 3s
[11/35] sub_4109ac, 33s
[12/35] sub_404b90, 1s
[13/35] sub_4052d0, 30s
[14/35] sub_419d70, 1s
[15/35] sub_40fd34, 2s
[16/35] websSetEnv, 34s
[17/35] socketGetInput, 1s
[18/35] websDecode64, 2s
[19/35] sub_4110e0, 2s
[20/35] main, 32s
[21/35] sub_403860, 1s
[22/35] sub_403ec4, 1s
[23/35] sub_414b20, 48s
[24/35] websUrlType, 1s
[25/35] sub_408128, 1s
[26/35] sub_41128c, 48s
[27/35] sub_40748c, 3s
[28/35] sub_40401c
[29/35] dirname, 1s
[30/35] sub_403974
[31/35] websDefaultHandler, 43s
[32/35] sub_404de8, 1s
[33/35] sub_413cd4, 54s
[34/35] sub_4066d0, 2s
[35/35] socketFlush, 3s
New_input_getters functions: websWrite, websGetVar
[2/38] websXmlHeader, 0s
[4/38] sub_410c84, 1s
[8/38] sub_40f910, 0s
[9/38] sub_413894, 3s
[14/38] sub_403e24, 0s
[15/38] sub_40fa24, 1s
[16/38] websAspRequest, 37s
[17/38] sub_40f928, 0s
[19/38] sub_406530, 1s
[21/38] websHeader2, 0s
[22/38] sub_410e3c, 1s
[23/38] sub_40f940, 1s
[25/38] websHeader, 0s
[26/38] websFooter, 0s
[28/38] sub_404d54, 0s
[30/38] sub_410d60, 34s
[31/38] sub_404c64, 1s
[33/38] sub_403e78, 0s
 Done 
Total time: 665s 
