target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x48057c,  source_addr: 0x419f74 ,  taint_source: webGetVarString ,  sink_insr_addr: 0x4805f8  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: webGetVarString,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4805bc#0x480594#0x480570 ,  path: 0x4805bc#0x480594#0x480570 ,  keyword: /SetTimeSettings/CurrentDate
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x48057c,  source_addr: 0x419f74 ,  taint_source: webGetVarString ,  sink_insr_addr: 0x4805f8  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: webGetVarString,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x480594#0x480570 ,  path: 0x4805bc#0x480594#0x480570 ,  keyword: /SetTimeSettings/CurrentDate
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x48057c,  source_addr: 0x419f74 ,  taint_source: webGetVarString ,  sink_insr_addr: 0x4805f8  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: webGetVarString,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x480594#0x480570 ,  path: 0x4805bc#0x480594#0x480570 ,  keyword: /SetTimeSettings/CurrentDate
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x4805a4,  source_addr: 0x419f74 ,  taint_source: webGetVarString ,  sink_insr_addr: 0x48062c  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: webGetVarString,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4805fc#0x4805bc#0x480594 ,  path: 0x4805fc#0x4805bc#0x480594 ,  keyword: /SetTimeSettings/CurrentTime
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x4805a4,  source_addr: 0x419f74 ,  taint_source: webGetVarString ,  sink_insr_addr: 0x48062c  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: webGetVarString,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4805bc#0x480594 ,  path: 0x4805fc#0x4805bc#0x480594 ,  keyword: /SetTimeSettings/CurrentTime
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x4805a4,  source_addr: 0x419f74 ,  taint_source: webGetVarString ,  sink_insr_addr: 0x48062c  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: webGetVarString,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4805bc#0x480594 ,  path: 0x4805fc#0x4805bc#0x480594 ,  keyword: /SetTimeSettings/CurrentTime
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x480258,  source_addr: 0x5001c0 ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x480330  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x480304#0x480280#0x48025c#0x480238 ,  path: 0x480304#0x480280#0x48025c#0x480238 ,  keyword: ntp_timezone
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x480258,  source_addr: 0x5001c0 ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x480330  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x48025c#0x480238 ,  path: 0x480304#0x48025c#0x480238 ,  keyword: ntp_timezone
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x480258,  source_addr: 0x5001c0 ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x480330  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x48025c#0x480238 ,  path: 0x480304#0x48025c#0x480238 ,  keyword: ntp_timezone
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x480258,  source_addr: 0x5001c0 ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4802b8  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x48028c#0x480280#0x48025c#0x480238 ,  path: 0x48028c#0x480280#0x48025c#0x480238 ,  keyword: ntp_timezone
target_addr: 0x480080 ,  target_name: sub_480080 ,  source_name: sub_480080 ,  source_insr_addr: 0x480258,  source_addr: 0x5001c0 ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4802b8  ,sink_addr: sub_480080 ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x48025c#0x480238 ,  path: 0x48028c#0x48025c#0x480238 ,  keyword: ntp_timezone
