target_addr: 0x411c18 ,  target_name: start_lan_ipv6 ,  source_name: start_lan_ipv6 ,  source_insr_addr: 0x411f04,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x411f14  ,sink_addr: start_lan_ipv6 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x411f08#0x411eec ,  path: 0x411f08#0x411eec ,  lan0_ipv6_ula_prefix ,  lan0_ipv6_prefix
target_addr: 0x411c18 ,  target_name: start_lan_ipv6 ,  source_name: start_lan_ipv6 ,  source_insr_addr: 0x411f48,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x411f58  ,sink_addr: start_lan_ipv6 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x411f4c#0x411f2c ,  path: 0x411f4c#0x411f2c ,  lan0_ipv6_ula_prefix_length ,  lan0_ipv6_prefix_length
target_addr: 0x411c18 ,  target_name: start_lan_ipv6 ,  source_name: start_lan_ipv6 ,  source_insr_addr: 0x411df8,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x411e08  ,sink_addr: start_lan_ipv6 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x411dfc#0x411de0 ,  path: 0x411dfc#0x411de0 ,  lan0_ipv6_ula_defprefix ,  lan0_ipv6_prefix
target_addr: 0x411c18 ,  target_name: start_lan_ipv6 ,  source_name: start_lan_ipv6 ,  source_insr_addr: 0x411e3c,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x411e4c  ,sink_addr: start_lan_ipv6 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x411e40#0x411e20 ,  path: 0x411e40#0x411e20 ,  lan0_ipv6_ula_defprefix ,  lan0_ipv6_ula_prefix
target_addr: 0x460434 ,  target_name: sub_460434 ,  source_name: sub_460434 ,  source_insr_addr: 0x4604b4,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x46069c  ,sink_addr: sub_460434 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 3,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x460694#0x460674#0x460660#0x460630#0x460824#0x46061c#0x4605d4#0x460524#0x4604b8#0x460434 ,  path: 0x460694#0x460674#0x460660#0x460630#0x460824#0x46061c#0x4605d4#0x460524#0x4604b8#0x460434 ,  lan0_hwaddr ,  mac
target_addr: 0x460434 ,  target_name: sub_460434 ,  source_name: sub_460434 ,  source_insr_addr: 0x4604b4,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x46069c  ,sink_addr: sub_460434 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 3,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x460694#0x460674#0x460660#0x460630#0x460824#0x46061c#0x4605d4#0x460524#0x4604b8#0x460434 ,  path: 0x460694#0x460674#0x460660#0x460630#0x460824#0x46061c#0x4605d4#0x460524#0x4604b8#0x460434 ,  lan0_hwaddr ,  mac
target_addr: 0x405048 ,  target_name: main ,  source_name: main ,  source_insr_addr: 0x405414,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x405424  ,sink_addr: main ,  sink_name: setenv,  checking_time:0,  conditions_str: ,  visited_functions: nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x405418#0x4053fc ,  path: 0x405418#0x4053fc ,  time_zone ,  TZ
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x452554,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452724  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: sscanf#strncpy#strncpy#getenv,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function: strncpy*100 ,  path_flag: 0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  path: 0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  RA_ADDRESSES ,  ipv6_ipaddr
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x452554,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452770  ,sink_addr: sub_4516d0 ,  sink_name: nvram_set_int,  checking_time:0,  conditions_str: ,  visited_functions: sscanf#strncpy#strncpy#getenv,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function: strncpy*100 ,  path_flag: 0x452760#0x45273c#0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  path: 0x452760#0x45273c#0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  RA_ADDRESSES ,  ipv6_prefix_length
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x45219c,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x45248c  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452484#0x452464#0x452460#0x452410#0x4523f4#0x4523a4#0x452398#0x452374#0x452354#0x452338#0x452318#0x4522f8#0x4522ec#0x4522bc#0x4522a0#0x452270#0x452248#0x45220c#0x4521ec#0x4521d0#0x4521c8#0x4521b4#0x452198 ,  path: 0x452484#0x452464#0x452460#0x452410#0x4523f4#0x4523a4#0x452398#0x452374#0x452354#0x452338#0x452318#0x4522f8#0x4522ec#0x4522bc#0x4522a0#0x452270#0x452248#0x45220c#0x4521ec#0x4521d0#0x4521c8#0x4521b4#0x452198 ,  ADDRESSES ,  ipv6_ipaddr
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x4528c4,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452b4c  ,sink_addr: sub_4516d0 ,  sink_name: nvram_safe_set,  checking_time:0,  conditions_str: ,  visited_functions: sscanf#add_ip6_lanaddr#getenv,  fail2captureConditionsTime: 0,  error_messges_str: ,  str_length_visited_function:  ,  path_flag: 0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  path: 0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0 ,  PREFIXES ,  ipv6_dhcppd
target_addr: 0x4516d0 ,  target_name: sub_4516d0 ,  source_name: sub_4516d0 ,  source_insr_addr: 0x452554,  source_addr: 0x500340 ,  taint_source: getenv ,  sink_insr_addr: 0x452b98  ,sink_addr: sub_4516d0 ,  sink_name: nvram_set_int,  checking_time:0,  conditions_str: ,  visited_functions: sscanf#strncpy#strncpy#getenv,  fail2captureConditionsTime: 2,  error_messges_str: ,  str_length_visited_function: strncpy*100 ,  path_flag: 0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0#0x4528b4#0x452898#0x452878#0x452868#0x452854#0x452850#0x452830#0x452810#0x452804#0x4527e4#0x4527c4#0x4527a4#0x452788#0x452760#0x45273c#0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  path: 0x452b88#0x452b64#0x452b3c#0x452b18#0x452a64#0x452a50#0x452a20#0x452a14#0x4529e4#0x4529c8#0x452998#0x452970#0x452934#0x452914#0x4528f8#0x4528f0#0x4528dc#0x4528c0#0x4528b4#0x452898#0x452878#0x452868#0x452854#0x452850#0x452830#0x452810#0x452804#0x4527e4#0x4527c4#0x4527a4#0x452788#0x452760#0x45273c#0x452714#0x4526f4#0x4526e0#0x4526b0#0x4526a4#0x452674#0x452658#0x452628#0x452600#0x4525c4#0x4525a4#0x452588#0x452580#0x45256c#0x452550 ,  RA_ADDRESSES ,  ipv6_dhcppd_length
