target_addr: 0x42f160 ,  target_name: sub_42f160 ,  source_name: sub_42f160 ,  source_insr_addr: 0x42f2f0,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x42fdc4  ,sink_addr: sub_42f160 ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 2,  error_messges_str: pcvar*SSID1#pcvar*/dev/console ,  str_length_visited_function: snprintf*128 ,  path_flag: 0x42fda4#0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0 ,  path: 0x42fda4#0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0#0x42f2d8 ,  keyword: management_link
target_addr: 0x42f160 ,  target_name: sub_42f160 ,  source_name: sub_42f160 ,  source_insr_addr: 0x42f408,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x42fdc4  ,sink_addr: sub_42f160 ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 2,  error_messges_str: pcvar*SSID1#pcvar*/dev/console ,  str_length_visited_function: snprintf*128 ,  path_flag: 0x42fda4#0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0#0x42f3ac#0x42f2f4#0x42f2d8 ,  path: 0x42fda4#0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0 ,  keyword: ifname
target_addr: 0x42f160 ,  target_name: sub_42f160 ,  source_name: sub_42f160 ,  source_insr_addr: 0x42f2f0,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x42fdc4  ,sink_addr: sub_42f160 ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 2,  error_messges_str: pcvar*SSID1#pcvar*/dev/console ,  str_length_visited_function: snprintf*128 ,  path_flag: 0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0 ,  path: 0x42fda4#0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0#0x42f2d8 ,  keyword: management_link
target_addr: 0x42f160 ,  target_name: sub_42f160 ,  source_name: sub_42f160 ,  source_insr_addr: 0x42f408,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x42fdc4  ,sink_addr: sub_42f160 ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 2,  error_messges_str: pcvar*SSID1#pcvar*/dev/console ,  str_length_visited_function: snprintf*128 ,  path_flag: 0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0#0x42f3ac#0x42f2f4#0x42f2d8 ,  path: 0x42fda4#0x42fd44#0x42fd14#0x42fcf8#0x42fcdc#0x42fcac#0x42fc7c#0x42fc50#0x42fc14#0x42fbe8#0x42fbdc#0x42fbbc#0x42fb90#0x42fb8c#0x42fb64#0x42fb4c#0x42fb34#0x42fb14#0x42fb08#0x42faf0#0x42fad8#0x42fab8#0x42fab4#0x42fa8c#0x42fa74#0x42fa5c#0x42fa40#0x42fa34#0x42fa18#0x42f910#0x42f8f0#0x42f8cc#0x42f8a4#0x42f880#0x42f858#0x42f828#0x42f7f8#0x42f7c8#0x42f798#0x42f768#0x42f738#0x42f708#0x42f6d8#0x42f6b4#0x42f690#0x42f5e0#0x42f5b8#0x42f510#0x42f50c#0x42f4f4#0x42f4f0#0x42f4a8#0x42f49c#0x42f474#0x42f44c#0x42f434#0x42f40c#0x42f3f0 ,  keyword: ifname
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x441248,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4412a4  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x441284#0x44124c#0x441224 ,  path: 0x441284#0x44124c#0x441224 ,  keyword: WscVendorPinCode
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x441248,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4412a4  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x44124c#0x441224 ,  path: 0x441284#0x44124c#0x441224 ,  keyword: WscVendorPinCode
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x441384,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4413e0  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x4413c0#0x441388#0x441360 ,  path: 0x4413c0#0x441388#0x441360 ,  keyword: WscVendorPinCode
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x441384,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4413e0  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x441388#0x441360 ,  path: 0x4413c0#0x441388#0x441360 ,  keyword: WscVendorPinCode
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x44150c,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x441568  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x441548#0x441510#0x4414e8 ,  path: 0x441548#0x441510#0x4414e8 ,  keyword: WscVendorPinCode
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x44150c,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x441568  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x441510#0x4414e8 ,  path: 0x441548#0x441510#0x4414e8 ,  keyword: WscVendorPinCode
target_addr: 0x4403d8 ,  target_name: start_wlan ,  source_name: start_wlan ,  source_insr_addr: 0x441648,  source_addr: 0x50022c ,  taint_source: nvram_safe_get ,  sink_insr_addr: 0x4416a4  ,sink_addr: start_wlan ,  taint_Sink: twsystem,  checking_time:0,  conditions_str: ,  visited_functions: snprintf#nvram_safe_get,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function: snprintf*512 ,  path_flag: 0x441684#0x44164c#0x441624 ,  path: 0x441684#0x44164c#0x441624 ,  keyword: WscVendorPinCode
