
[1/215] load_wifi_driver, 3s
[2/215] sub_42f160, 9s
[3/215] sub_4420d4, 2s
[4/215] sub_409c34, 1s
[5/215] start_wlan, 18s
[6/215] sub_450404, 19s
[7/215] sub_446c08, 0s
[8/215] sub_438608
[9/215] start_igmp_proxy, 7s
[10/215] sub_413a0c, 2s
[11/215] sub_43b010
[12/215] start_wan
[13/215] sub_43b614, 4s
[14/215] stop_ipv6_tunnel, 2s
[15/215] start_lan_ipv6, 6s
[16/215] init_switch, 3s
[17/215] sub_43e41c
[18/215] sub_404c24, 1s
[19/215] sub_434028, 1s
[20/215] wan_wan0_vlan_delete_interface, 1s
[21/215] wan_up, 87s
[22/215] sub_460434, 3s
[23/215] start_lan_up, 14s
[24/215] set_wan_speed, 2s
[25/215] sub_40f044, 1s
[26/215] sub_428e44, 17s
[27/215] start_dhcp6c, 3s
[28/215] sub_416048, 2s
[29/215] main, 16s
[30/215] update_resolvconf, 25s
[31/215] setup_passwd, 1s
[32/215] sub_44f250, 31s
[33/215] start_ipv6_tunnel
[34/215] sub_424258, 1s
[35/215] sub_43d458, 9s
[36/215] sub_404e60, 1s
[37/215] sub_408464, 2s
[38/215] sub_40dc6c, 1s
[39/215] sub_42346c, 1s
[40/215] sub_447870, 6s
[41/215] sub_442a74, 7s
[42/215] sub_413c78, 2s
[43/215] sub_42c478, 6s
[44/215] sub_43da80, 0s
[45/215] sub_43a08c, 12s
[46/215] sub_432690, 2s
[47/215] stop_lan_ipv6, 4s
[48/215] stop_wan6, 4s
[49/215] sub_44c6ac, 18s
[50/215] start_dev_mgt_link, 14s
[51/215] sub_409eb8, 13s
[52/215] sub_44f8bc, 34s
[53/215] start_DDNS_ipv6, 10s
[54/215] sub_446cc4, 15s
[55/215] sub_40e2cc, 9s
[56/215] wan_wan0_vlan_create_interface, 21s
[57/215] sub_4516d0, 42s
[58/215] stop_lan_br, 6s
[59/215] sub_410cd8, 8s
[60/215] sub_4172dc, 2s
[61/215] sub_43b0e0, 2s
[62/215] sub_4272e8
[63/215] sub_444cec, 9s
[64/215] sub_40b4ec, 1s
[65/215] sub_420cf4, 4s
[66/215] sub_403af4, 11s
[67/215] sub_4562f8, 5s
[68/215] sub_432908, 8s
[69/215] lan_wan_ip_conflict_handler, 33s
[70/215] sub_441b10, 2s
[71/215] sub_453914, 12s
[72/215] sub_416318, 44s
[73/215] stop_staticroute_ipv6, 2s
[74/215] sub_43eb20, 6s
[75/215] sub_40b320, 1s
[76/215] sub_44c324, 1s
[77/215] start_services, 1s
[78/215] sub_40e928, 2s
[79/215] sub_423b30, 3s
[80/215] sub_404b30, 0s
[81/215] start_lan_ipv6serivce, 1s
[82/215] sub_40d338, 5s
[83/215] stop_wan, 16s
[84/215] start_staticroute_ipv6, 13s
[85/215] sub_428350, 4s
[86/215] start_schedule, 102s
[87/215] wan_down
[88/215] sub_420564, 5s
[89/215] handle_notifications
[90/215] sub_414178, 2s
[91/215] start_dnsmasq, 40s
[92/215] sub_44cd7c, 237s
[93/215] sub_455f90, 1s
[94/215] start_DDNS_ipv4, 14s
[95/215] sub_45539c, 9s
[96/215] sub_438ba0, 24s
[97/215] sub_4043a0, 5s
[98/215] start_wan6, 42s
[99/215] sub_43e5ac, 3s
[100/215] sub_40ddb0, 9s
[101/215] sub_422fc0, 2s
[102/215] sub_45b1c0, 21s
[103/215] sub_40efc4, 0s
[104/215] sub_4473c8, 7s
[105/215] sub_40d9c8, 1s
[106/215] sub_448dcc, 1s
[107/215] stop_lan_up, 8s
[108/215] sub_427fd4, 2s
[109/215] sub_45a1d4, 254s
[110/215] start_dlna, 4s
[111/215] sub_42a1d8, 7s
[112/215] sub_448fdc, 12s
[113/215] add_ip6_lanaddr, 1s
[114/215] sub_40f5e0, 1s
