target_addr: 0x6d2180 ,  target_name: findProgramPath ,  source_name: findProgramPath ,  source_insr_addr: 0x6d21c0,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x6d22b8  ,sink_addr: findProgramPath ,  taint_Sink: strcpy,  checking_time:0,  conditions_str: ,  visited_functions: strcpy#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1#pcvar* ,  str_length_visited_function:  ,  path_flag: 0x6d22a8#0x6d229c#0x6d2284#0x6d2268#0x6d2248#0x6d2238#0x6d2230#0x6d21e4#0x6d21d4#0x6d21c4#0x6d2180 ,  path: 0x6d22a8#0x6d229c#0x6d2284#0x6d2268#0x6d2248#0x6d2238#0x6d2230#0x6d21e4#0x6d21d4#0x6d21c4#0x6d2180 ,  keyword: PATH
target_addr: 0x63ca50 ,  target_name: sock_exec ,  source_name: cli_connect ,  source_insr_addr: 0x4c6eec,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x63ce60  ,sink_addr: sock_exec ,  taint_Sink: system,  checking_time:-1,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: -1,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x63ce4c#0x63ce34#0x63ce1c#0x63ce04#0x63cdec#0x63cddc#0x63cd9c#0x63cd84#0x63cd74#0x63cd44#0x63cd34#0x63cd28#0x63cd18#0x63cd0c#0x63ccfc#0x63cce8#0x63ccd4#0x63ccd0#0x63ccbc#0x63ccac#0x63cca0#0x63cc7c#0x63cc6c#0x63cc60#0x63cc4c#0x63cc40#0x63cc30#0x63cb00#0x63cae4#0x63cab8#0x63caa8#0x63ca50#0x4c6ef0#0x4c6ee0 ,  path: 0x63ce4c#0x63ce34#0x63ce1c#0x63ce04#0x63cdec#0x63cddc#0x63cd9c#0x63cd84#0x63cd74#0x63cd44#0x63cd34#0x63cd28#0x63cd18#0x63cd0c#0x63ccfc#0x63cce8#0x63ccd4#0x63ccd0#0x63ccbc#0x63ccac#0x63cca0#0x63cc7c#0x63cc6c#0x63cc60#0x63cc4c#0x63cc40#0x63cc30#0x63cb00#0x63cae4#0x63cab8#0x63caa8#0x63ca50#0x4c6ef0#0x4c6ee0 ,  keyword: LIBSMB_PROG
target_addr: 0x63ca50 ,  target_name: sock_exec ,  source_name: cli_connect ,  source_insr_addr: 0x4c6eec,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x63ce60  ,sink_addr: sock_exec ,  taint_Sink: system,  checking_time:-1,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: -1,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x63ce4c#0x63ce34#0x63ce1c#0x63ce04#0x63cdec#0x63cddc#0x63cd9c#0x63cd84#0x63cd74#0x63cd44#0x63cd34#0x63cd28#0x63cd18#0x63cd0c#0x63ccfc#0x63cce8#0x63ccd4#0x63ccd0#0x63ccbc#0x63ccac#0x63cca0#0x63cc7c#0x63cc6c#0x63cc60#0x63cc4c#0x63cc40#0x63cc30#0x63cb00#0x63cae4#0x63cab8#0x63caa8#0x63ca50#0x4c6ef0#0x4c6ee0 ,  path: 0x63ce4c#0x63ce34#0x63ce1c#0x63ce04#0x63cdec#0x63cddc#0x63cd9c#0x63cd84#0x63cd74#0x63cd44#0x63cd34#0x63cd28#0x63cd18#0x63cd0c#0x63ccfc#0x63cce8#0x63ccd4#0x63ccd0#0x63ccbc#0x63ccac#0x63cca0#0x63cc7c#0x63cc6c#0x63cc60#0x63cc4c#0x63cc40#0x63cc30#0x63cb00#0x63cae4#0x63cab8#0x63caa8#0x63ca50#0x4c6ef0#0x4c6ee0 ,  keyword: LIBSMB_PROG
target_addr: 0x629114 ,  target_name: safe_strcpy_fn ,  source_name: sub_6ce7bc ,  source_insr_addr: 0x6ce90c,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x629194  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6ce910#0x6ce900 ,  path: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6ce910#0x6ce900 ,  keyword: USER
target_addr: 0x629114 ,  target_name: safe_strcpy_fn ,  source_name: sub_6ce7bc ,  source_insr_addr: 0x6cea0c,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x629194  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6cea10#0x6cea00 ,  path: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6cea10#0x6cea00 ,  keyword: PASSWD
target_addr: 0x629114 ,  target_name: safe_strcpy_fn ,  source_name: sub_6ce7bc ,  source_insr_addr: 0x6ce90c,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x629194  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6ce910#0x6ce900 ,  path: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6ce910#0x6ce900 ,  keyword: USER
target_addr: 0x6292c4 ,  target_name: safe_strcat_fn ,  source_name: sub_6ce4bc ,  source_insr_addr: 0x6ce4f8,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x629360  ,sink_addr: safe_strcat_fn ,  taint_Sink: memcpy,  checking_time:1,  conditions_str:a3@(a3<4> == 0x0<32>) ,  visited_functions: memcpy#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x629354#0x629338#0x62931c#0x62930c#0x629304#0x6292c4#0x6ce530#0x6ce508#0x6ce4fc#0x6ce4bc ,  path: 0x629354#0x629338#0x62931c#0x62930c#0x629304#0x6292c4#0x6ce530#0x6ce508#0x6ce4fc#0x6ce4bc ,  keyword: PASSWD_FD
target_addr: 0x6ce4bc ,  target_name: sub_6ce4bc ,  source_name: sub_6ce4bc ,  source_insr_addr: 0x6ce4f8,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x6ce568  ,sink_addr: sub_6ce4bc ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x6ce550#0x6ce530#0x6ce508#0x6ce4fc#0x6ce4bc ,  path: 0x6ce550#0x6ce530#0x6ce508#0x6ce4fc#0x6ce4bc ,  keyword: PASSWD_FD
target_addr: 0x6ce4bc ,  target_name: sub_6ce4bc ,  source_name: sub_6ce4bc ,  source_insr_addr: 0x6ce4f8,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x6ce568  ,sink_addr: sub_6ce4bc ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x6ce4fc#0x6ce4bc ,  path: 0x6ce550#0x6ce4fc#0x6ce4bc ,  keyword: PASSWD_FD
target_addr: 0x629114 ,  target_name: safe_strcpy_fn ,  source_name: sub_6ce4bc ,  source_insr_addr: 0x6ce6c8,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x629194  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:3,  conditions_str:v0@(v0<4> != 0x0<32>)#v0@(v0<4> == 0x0<32>)#v0@(v0<4> == 0x0<32>) ,  visited_functions: memmove#safe_strcpy_fn#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6ce6ec#0x6ce6d8#0x6ce6cc#0x6ce6bc ,  path: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6ce6ec#0x6ce6d8#0x6ce6cc#0x6ce6bc ,  keyword: PASSWD_FILE
target_addr: 0x629114 ,  target_name: safe_strcpy_fn ,  source_name: sub_6ce7bc ,  source_insr_addr: 0x6cea0c,  source_addr: 0x800364 ,  taint_source: getenv ,  sink_insr_addr: 0x629194  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6cea10#0x6cea00 ,  path: 0x629180#0x62922c#0x629210#0x6291fc#0x6291e0#0x6291c0#0x62916c#0x62915c#0x629154#0x629114#0x6cea10#0x6cea00 ,  keyword: PASSWD
