target_addr: 0x4ba000 ,  target_name: sock_exec ,  source_name: cli_connect ,  source_insr_addr: 0x42ebac,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4ba410  ,sink_addr: sock_exec ,  taint_Sink: system,  checking_time:-1,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: -1,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4ba3fc#0x4ba3e4#0x4ba3cc#0x4ba3b4#0x4ba39c#0x4ba38c#0x4ba34c#0x4ba334#0x4ba324#0x4ba2f4#0x4ba2e4#0x4ba2d8#0x4ba2c8#0x4ba2bc#0x4ba2ac#0x4ba298#0x4ba284#0x4ba280#0x4ba26c#0x4ba25c#0x4ba250#0x4ba22c#0x4ba21c#0x4ba210#0x4ba1fc#0x4ba1f0#0x4ba1e0#0x4ba0b0#0x4ba094#0x4ba068#0x4ba058#0x4ba000#0x42ebb0#0x42eba0 ,  path: 0x4ba3fc#0x4ba3e4#0x4ba3cc#0x4ba3b4#0x4ba39c#0x4ba38c#0x4ba34c#0x4ba334#0x4ba324#0x4ba2f4#0x4ba2e4#0x4ba2d8#0x4ba2c8#0x4ba2bc#0x4ba2ac#0x4ba298#0x4ba284#0x4ba280#0x4ba26c#0x4ba25c#0x4ba250#0x4ba22c#0x4ba21c#0x4ba210#0x4ba1fc#0x4ba1f0#0x4ba1e0#0x4ba0b0#0x4ba094#0x4ba068#0x4ba058#0x4ba000#0x42ebb0#0x42eba0 ,  keyword: LIBSMB_PROG
target_addr: 0x4ba000 ,  target_name: sock_exec ,  source_name: cli_connect ,  source_insr_addr: 0x42ebac,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4ba410  ,sink_addr: sock_exec ,  taint_Sink: system,  checking_time:-1,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: -1,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4ba3fc#0x4ba3e4#0x4ba3cc#0x4ba3b4#0x4ba39c#0x4ba38c#0x4ba34c#0x4ba334#0x4ba324#0x4ba2f4#0x4ba2e4#0x4ba2d8#0x4ba2c8#0x4ba2bc#0x4ba2ac#0x4ba298#0x4ba284#0x4ba280#0x4ba26c#0x4ba25c#0x4ba250#0x4ba22c#0x4ba21c#0x4ba210#0x4ba1fc#0x4ba1f0#0x4ba1e0#0x4ba0b0#0x4ba094#0x4ba068#0x4ba058#0x4ba000#0x42ebb0#0x42eba0 ,  path: 0x4ba3fc#0x4ba3e4#0x4ba3cc#0x4ba3b4#0x4ba39c#0x4ba38c#0x4ba34c#0x4ba334#0x4ba324#0x4ba2f4#0x4ba2e4#0x4ba2d8#0x4ba2c8#0x4ba2bc#0x4ba2ac#0x4ba298#0x4ba284#0x4ba280#0x4ba26c#0x4ba25c#0x4ba250#0x4ba22c#0x4ba21c#0x4ba210#0x4ba1fc#0x4ba1f0#0x4ba1e0#0x4ba0b0#0x4ba094#0x4ba068#0x4ba058#0x4ba000#0x42ebb0#0x42eba0 ,  keyword: LIBSMB_PROG
target_addr: 0x4a6874 ,  target_name: safe_strcat_fn ,  source_name: sub_4d6f2c ,  source_insr_addr: 0x4d6f68,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4a6910  ,sink_addr: safe_strcat_fn ,  taint_Sink: memcpy,  checking_time:1,  conditions_str:a3@(a3<4> == 0x0<32>) ,  visited_functions: memcpy#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x4a6904#0x4a68e8#0x4a68cc#0x4a68bc#0x4a68b4#0x4a6874#0x4d6fa0#0x4d6f78#0x4d6f6c#0x4d6f2c ,  path: 0x4a6904#0x4a68e8#0x4a68cc#0x4a68bc#0x4a68b4#0x4a6874#0x4d6fa0#0x4d6f78#0x4d6f6c#0x4d6f2c ,  keyword: PASSWD_FD
target_addr: 0x4d6f2c ,  target_name: sub_4d6f2c ,  source_name: sub_4d6f2c ,  source_insr_addr: 0x4d6f68,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4d6fd8  ,sink_addr: sub_4d6f2c ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4d6fc0#0x4d6fa0#0x4d6f78#0x4d6f6c#0x4d6f2c ,  path: 0x4d6fc0#0x4d6fa0#0x4d6f78#0x4d6f6c#0x4d6f2c ,  keyword: PASSWD_FD
target_addr: 0x4d6f2c ,  target_name: sub_4d6f2c ,  source_name: sub_4d6f2c ,  source_insr_addr: 0x4d6f68,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4d6fd8  ,sink_addr: sub_4d6f2c ,  taint_Sink: sscanf,  checking_time:0,  conditions_str: ,  visited_functions: getenv,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4d6f6c#0x4d6f2c ,  path: 0x4d6fc0#0x4d6f6c#0x4d6f2c ,  keyword: PASSWD_FD
target_addr: 0x4a66c4 ,  target_name: safe_strcpy_fn ,  source_name: sub_4d722c ,  source_insr_addr: 0x4d737c,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4a6744  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x4a6730#0x4a67dc#0x4a67c0#0x4a67ac#0x4a6790#0x4a6770#0x4a671c#0x4a670c#0x4a6704#0x4a66c4#0x4d7380#0x4d7370 ,  path: 0x4a6730#0x4a67dc#0x4a67c0#0x4a67ac#0x4a6790#0x4a6770#0x4a671c#0x4a670c#0x4a6704#0x4a66c4#0x4d7380#0x4d7370 ,  keyword: USER
target_addr: 0x4a66c4 ,  target_name: safe_strcpy_fn ,  source_name: sub_4d722c ,  source_insr_addr: 0x4d747c,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4a6744  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x4a6730#0x4a67dc#0x4a67c0#0x4a67ac#0x4a6790#0x4a6770#0x4a671c#0x4a670c#0x4a6704#0x4a66c4#0x4d7480#0x4d7470 ,  path: 0x4a6730#0x4a67dc#0x4a67c0#0x4a67ac#0x4a6790#0x4a6770#0x4a671c#0x4a670c#0x4a6704#0x4a66c4#0x4d7480#0x4d7470 ,  keyword: PASSWD
target_addr: 0x4a66c4 ,  target_name: safe_strcpy_fn ,  source_name: sub_4d722c ,  source_insr_addr: 0x4d737c,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4a6744  ,sink_addr: safe_strcpy_fn ,  taint_Sink: memmove,  checking_time:1,  conditions_str:v0@(v0<4> != 0x0<32>) ,  visited_functions: memmove#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1 ,  str_length_visited_function:  ,  path_flag: 0x4a6730#0x4a67dc#0x4a67c0#0x4a67ac#0x4a6790#0x4a6770#0x4a671c#0x4a670c#0x4a6704#0x4a66c4#0x4d7380#0x4d7370 ,  path: 0x4a6730#0x4a67dc#0x4a67c0#0x4a67ac#0x4a6790#0x4a6770#0x4a671c#0x4a670c#0x4a6704#0x4a66c4#0x4d7380#0x4d7370 ,  keyword: USER
target_addr: 0x56d330 ,  target_name: findProgramPath ,  source_name: findProgramPath ,  source_insr_addr: 0x56d370,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x56d468  ,sink_addr: findProgramPath ,  taint_Sink: strcpy,  checking_time:0,  conditions_str: ,  visited_functions: strcpy#getenv,  fail2captureConditionsTime: 0,  error_messges_str: return*-1#pcvar* ,  str_length_visited_function:  ,  path_flag: 0x56d458#0x56d44c#0x56d434#0x56d418#0x56d3f8#0x56d3e8#0x56d3e0#0x56d394#0x56d384#0x56d374#0x56d330 ,  path: 0x56d458#0x56d44c#0x56d434#0x56d418#0x56d3f8#0x56d3e8#0x56d3e0#0x56d394#0x56d384#0x56d374#0x56d330 ,  keyword: PATH
target_addr: 0x4a8588 ,  target_name: realloc_string_sub ,  source_name: alloc_sub_basic ,  source_insr_addr: 0x4bdba8,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4a8780  ,sink_addr: realloc_string_sub ,  taint_Sink: memcpy,  checking_time:0,  conditions_str: ,  visited_functions: memcpy#strdup#realloc_string_sub#getenv,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4a876c#0x4a8764#0x4a8748#0x4a8740#0x4a872c#0x4a8728#0x4a871c#0x4a8714#0x4a870c#0x4a8790#0x4a8784#0x4a8700#0x4a86b8#0x4a86b0#0x4a86a8#0x4a86a0#0x4a8694#0x4a86c4#0x4a866c#0x4a8660#0x4a8644#0x4a862c#0x4a861c#0x4a860c#0x4a85fc#0x4bdbdc#0x4bdbbc#0x4bdbac#0x4bdb90 ,  path: 0x4a876c#0x4a8764#0x4a8748#0x4a8740#0x4a872c#0x4a8728#0x4a871c#0x4a8714#0x4a870c#0x4a8790#0x4a8784#0x4a8700#0x4a86b8#0x4a86b0#0x4a86a8#0x4a86a0#0x4a8694#0x4a86c4#0x4a866c#0x4a8660#0x4a8644#0x4a862c#0x4a861c#0x4a860c#0x4a85fc#0x4bdbdc#0x4bdbbc#0x4bdbac#0x4bdb90 ,  keyword: ]
target_addr: 0x4a8588 ,  target_name: realloc_string_sub ,  source_name: alloc_sub_basic ,  source_insr_addr: 0x4bdba8,  source_addr: 0x600310 ,  taint_source: getenv ,  sink_insr_addr: 0x4a8760  ,sink_addr: realloc_string_sub ,  taint_Sink: memmove,  checking_time:3,  conditions_str:s6@(s6<4> <=s 0x0<32>)#s3@(s3<4> == a0<4>)#a0@(s3<4> == a0<4>) ,  visited_functions: memmove#strstr_m#strlen#realloc_string_sub#getenv,  fail2captureConditionsTime: 0,  error_messges_str:  ,  str_length_visited_function:  ,  path_flag: 0x4a8748#0x4a8740#0x4a872c#0x4a8728#0x4a871c#0x4a8714#0x4a870c#0x4a8790#0x4a8784#0x4a8700#0x4a86b8#0x4a86b0#0x4a86a8#0x4a86a0#0x4a8694#0x4a86c4#0x4a866c#0x4a8660#0x4a8644#0x4a862c#0x4a861c#0x4a860c#0x4a85fc#0x4bdbdc#0x4bdbbc#0x4bdbac#0x4bdb90 ,  path: 0x4a8748#0x4a8740#0x4a872c#0x4a8728#0x4a871c#0x4a8714#0x4a870c#0x4a8790#0x4a8784#0x4a8700#0x4a86b8#0x4a86b0#0x4a86a8#0x4a86a0#0x4a8694#0x4a86c4#0x4a866c#0x4a8660#0x4a8644#0x4a862c#0x4a861c#0x4a860c#0x4a85fc#0x4bdbdc#0x4bdbbc#0x4bdbac#0x4bdb90 ,  keyword: ]
